Date,Tournament,P,W/L,Side,Vs,Bans,Bans Vs,Picks,Picks Vs,Players,SB,VOD
6/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Win,Red,Bilibili Gaming,"Gwen, Miss Fortune, Aurora, Rakan, Nautilus","Azir, Twisted Fate, Nocturne, Sylas, Tahm Kench","Renekton, Skarner, Ryze, Varus, Alistar","Ambessa, Vi, Ahri, Xayah, Gragas","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 2",VOD
5/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Win,Red,Bilibili Gaming,"Gwen, Varus, Vi, Lulu, Kai'Sa","Azir, Twisted Fate, Galio, Rakan, Lucian","Ornn, Xin Zhao, Viktor, Caitlyn, Braum","Rumble, Wukong, Annie, Ezreal, Rell","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 2",VOD
5/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Win,Red,Bilibili Gaming,"Gwen, Vi, Rumble, Karma, Rakan","Varus, Azir, Twisted Fate, Lucian, Corki","Yorick, Pantheon, Orianna, Jhin, Neeko","Sion, Poppy, Taliyah, Kalista, Renata Glasc","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 2",VOD
4/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Win,Red,CTBC Flying Oyster,"Taliyah, Azir, Yorick, Nocturne, Ahri","Lee Sin, Twisted Fate, Renekton, Lulu, Alistar","Jayce, Sejuani, Orianna, Jinx, Tahm Kench","Ornn, Zyra, Tristana, Xayah, Rakan","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 1",VOD
4/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Win,Blue,CTBC Flying Oyster,"Taliyah, Yorick, Ornn, Rell, Alistar","Twisted Fate, Xayah, Azir, Lee Sin, Nocturne","Rumble, Jarvan IV, Sylas, Varus, Poppy","Ambessa, Skarner, Cassiopeia, Jhin, Nautilus","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 1",VOD
4/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Loss,Blue,CTBC Flying Oyster,"Taliyah, Yorick, Varus, Nautilus, Rell","Twisted Fate, Xayah, Azir, Jhin, Miss Fortune","Gwen, Zed, Galio, Senna, Thresh","Gragas, Trundle, Swain, Caitlyn, Braum","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 1",VOD
4/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Loss,Red,CTBC Flying Oyster,"Taliyah, Azir, Rumble, Galio, Cassiopeia","Gwen, Varus, Twisted Fate, Poppy, Ambessa","Jax, Wukong, Ryze, Kalista, Renata Glasc","K'Sante, Vi, Aurora, Lucian, Nami","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 1",VOD
3/07/2025,"INTMSI 2025, MSI 2025","25.13, Patch 25.13",Win,Red,CTBC Flying Oyster,"Taliyah, Azir, Xayah, Rell, Alistar","Varus, Gwen, Twisted Fate, Kalista, Lucian","Aatrox, Xin Zhao, Annie, Corki, Neeko","Sion, Pantheon, Viktor, Ezreal, Leona","Doran,Oner,Faker,Gumayusi,Keria","SB, 2025 Mid-Season Invitational/Scoreboards/Bracket Round 1",VOD
15/06/2025,"KRLCK 2025 Road to MSI, LCK 2025 Road to MSI","25.11, Patch 25.11",Win,Blue,Hanwha Life Esports,"Yone, Taliyah, Ornn, Twisted Fate, Trundle","Yorick, Azir, Rumble, Nocturne, Zed","K'Sante, Lee Sin, Annie, Xayah, Rakan","Gnar, Nidalee, Galio, Lucian, Braum","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Road to MSI/Scoreboards/Round 3-4",VOD
15/06/2025,"KRLCK 2025 Road to MSI, LCK 2025 Road to MSI","25.11, Patch 25.11",Win,Red,Hanwha Life Esports,"Yone, Taliyah, Rumble, Xayah, Ezreal","Azir, Ornn, Trundle, Camille, Renata Glasc","Ambessa, Pantheon, Ryze, Varus, Poppy","Sion, Xin Zhao, Viktor, Jhin, Nautilus","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Road to MSI/Scoreboards/Round 3-4",VOD
15/06/2025,"KRLCK 2025 Road to MSI, LCK 2025 Road to MSI","25.11, Patch 25.11",Win,Red,Hanwha Life Esports,"Yone, Poppy, Taliyah, Varus, Xayah","Pantheon, Rumble, Azir, Nocturne, Xin Zhao","Gwen, Wukong, Sylas, Kalista, Neeko","Jayce, Vi, Ahri, Miss Fortune, Rell","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Road to MSI/Scoreboards/Round 3-4",VOD
14/06/2025,"KRLCK 2025 Road to MSI, LCK 2025 Road to MSI","25.11, Patch 25.11",Win,Red,KT Rolster,"Yone, Vi, Nidalee, Nautilus, Miss Fortune","Poppy, Jayce, Senna, Caitlyn, Ashe","Camille, Trundle, Twisted Fate, Ziggs, Rell","Ambessa, Pantheon, Aurora, Xayah, Braum","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Road to MSI/Scoreboards/Round 3-4",VOD
14/06/2025,"KRLCK 2025 Road to MSI, LCK 2025 Road to MSI","25.11, Patch 25.11",Win,Red,KT Rolster,"Yone, Vi, Trundle, Rell, Nautilus","Poppy, Pantheon, Senna, Braum, Caitlyn","Renekton, Skarner, Azir, Lucian, Bard","Yorick, Sejuani, Taliyah, Ezreal, Leona","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Road to MSI/Scoreboards/Round 3-4",VOD
14/06/2025,"KRLCK 2025 Road to MSI, LCK 2025 Road to MSI","25.11, Patch 25.11",Win,Blue,KT Rolster,"Taliyah, Trundle, Yone, Tahm Kench, Poppy","Vi, Azir, Pantheon, Annie, Sylas","Gwen, Nocturne, Akali, Jhin, Rakan","Rumble, Jarvan IV, Ahri, Varus, Alistar","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Road to MSI/Scoreboards/Round 3-4",VOD
